Flat profile:

Each sample counts as 0.02 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.00% of 12564.32 seconds

index % time    self  children    called     name
                0.00 11035.52       1/1           start [2]
[1]     87.8    0.00 11035.52       1         main [1]
                0.02 11035.40       1/1           WCS_App_EventLoop [3]
                0.00    0.05       1/1           DitherTable_New [89]
                0.01    0.02       1/2           LoadProject [85]
                0.00    0.02       1/1           SaveProject [104]
                0.00    0.00       1/1           ModeList_New [128]
                0.00    0.00       1/1           ModeList_Choose [147]
                0.00    0.00       1/1           WCS_App_New [160]
                0.00    0.00       3/374         free_Memory [178]
                0.00    0.00       1/1           getcwd [260]
                0.00    0.00       1/1           WCS_App_Startup [253]
                0.00    0.00       1/1           WCS_App_Del [252]
                0.00    0.00       1/2           DirList_Del [225]
                0.00    0.00       1/1           DitherTable_Del [239]
                0.00    0.00       1/2           DisposeEcotypes [226]
                0.00    0.00       1/1           ModeList_Del [245]
-----------------------------------------------
                                                 <spontaneous>
[2]     87.8    0.00 11035.52                 start [2]
                0.00 11035.52       1/1           main [1]
-----------------------------------------------
                0.02 11035.40       1/1           main [1]
[3]     87.8    0.02 11035.40       1         WCS_App_EventLoop [3]
                0.14 11031.83       1/1           globemap [4]
                0.42    2.95   65536/65536       GaussRand [66]
                0.00    0.03       5/5           Handle_APP_Windows [96]
                0.00    0.03      15/15          Handle_EP_Window [98]
                0.00    0.00       1/1           Handle_RN_Window [166]
                0.00    0.00  138912/138913      Rexx_GetMsg [169]
                0.00    0.00  138888/138888      Rexx_SigMask [170]
                0.00    0.00       2/8           MUI2_MenuCheck_Hack [210]
                0.00    0.00       1/1           initpar [262]
                0.00    0.00       1/1           initmopar [261]
                0.00    0.00       1/2           User_Message_Def [228]
-----------------------------------------------
                0.14 11031.83       1/1           WCS_App_EventLoop [3]
[4]     87.8    0.14 11031.83       1         globemap [4]
                0.00 9830.80       1/1           InitDEMMap [5]
                0.00 1175.93       1/1           InitCloudMap [13]
               12.52    0.22       1/1           Reflection_Render [61]
                0.00   11.20       1/1           Celestial_Bodies [62]
                0.30    0.18       1/1           saveILBM [76]
                0.28    0.16       1/1           makesky [77]
                0.00    0.09       1/1           autoactivate [82]
                0.08    0.00       1/1           SplineAllKeys [84]
                0.00    0.02       1/1           BuildWaveKeyTable [107]
                0.00    0.01      28/47          Status_Log [109]
                0.00    0.01       1/1           Wave_Load [122]
                0.00    0.00      28/47          Log [121]
                0.00    0.00       1/1           setview [125]
                0.00    0.00      25/260         sprintf [91]
                0.00    0.00       1/1           Log_ElapsedTime [136]
                0.00    0.00       1/1           BuildTrigTables [137]
                0.00    0.00       1/1           BuildKeyTable [138]
                0.00    0.00       9/16          Wave_New [142]
                0.00    0.00       3/22          strmfp [127]
                0.00    0.00       6/374         get_Memory [111]
                0.00    0.00       1/1           openbitmaps [150]
                0.00    0.00       1/7           readDEM [143]
                0.00    0.00       1/3           WaveData_New [148]
                0.00    0.00       1/4021985     memset [36]
                0.00    0.00       1/5           FixPar [157]
                0.00    0.00       1/7935766     srand48 [49]
                0.00    0.00       1/9558        tan [113]
                0.00    0.00       1/93065122     cos [33]
                0.00    0.00       8/374         free_Memory [178]
                0.00    0.00       2/27          time [204]
                0.00    0.00       1/1           make_window [263]
                0.00    0.00       1/1           FreeTrigTables [242]
                0.00    0.00       1/1           BitmapImage_Unload [232]
                0.00    0.00       1/1           FreeKeyTable [241]
                0.00    0.00       1/1           closebitmaps [257]
                0.00    0.00       1/3           WaveData_Del [221]
                0.00    0.00       1/1           UndoPar [250]
                0.00    0.00       1/1           LoadForestModels [244]
                0.00    0.00       1/1           freeQCmaps [259]
                0.00    0.00       1/1           Close_Render_Window [234]
                0.00    0.00       1/1           BitmapImage_Load [231]
                0.00    0.00       1/1           Wave_Init [254]
                0.00    0.00       1/1           setvalues [264]
                0.00    0.00       1/1           InitVectorMap [243]
-----------------------------------------------
                0.00 9830.80       1/1           globemap [4]
[5]     78.2    0.00 9830.80       1         InitDEMMap [5]
                8.80 9818.70       2/2           maptopoobject [6]
                2.82    0.48       2/4           LoadImage [63]
                0.00    0.00       3/47          Status_Log [109]
                0.00    0.00      18/374         get_Memory [111]
                0.00    0.00       6/22          strmfp [127]
                0.00    0.00       3/260         sprintf [91]
                0.00    0.00       3/47          Log [121]
                0.00    0.00       4/7           readDEM [143]
                0.00    0.00       1/37          BusyWin_New [133]
                0.00    0.00       2/28271       BusyWin_Update [75]
                0.00    0.00      22/374         free_Memory [178]
                0.00    0.00       8/18          strlen [208]
                0.00    0.00       6/37          strcmp [200]
                0.00    0.00       1/37          BusyWin_Del [199]
-----------------------------------------------
                8.80 9818.70       2/2           InitDEMMap [5]
[6]     78.2    8.80 9818.70       2         maptopoobject [6]
               20.58 9763.79   93349/93349       FractFace_Render [7]
                3.43   16.27  181202/6493704     getscrncoords [17]
               12.18    0.00  360000/7346029     setface [30]
                1.28    0.00   46575/46575       FractFaceTwo_Setup [72]
                1.12    0.00   46774/46774       FractFaceOne_Setup [74]
                0.02    0.00    1202/28271       BusyWin_Update [75]
                0.00    0.02       8/8           __static__VertexIndex_New.part.1__...MapTopoObject.c__MapTopoObject.c [118]
                0.01    0.00    1202/26885       CheckInput_ID [78]
                0.00    0.00       2/260         sprintf [91]
                0.00    0.00       2/37          BusyWin_New [133]
